Distance,Side,Temperature,Humidity,Pressure,Visibility,Wind_Direction,Wind_Speed,Precipitation,Weather_Condition,Junction,Traffic_Signal,Sunrise_Sunset,highway,oneway,lanes,maxspeed,sev_cat
1.15999996662,R,79.0,58.0,29.84,10.0,SW,9.0,0.0,Cloudy,False,False,Night,residential,False,2,25,Major above 250
0.34999999404,R,36.0,62.0,25.68,10.0,CALM,0.0,0.0,Fair,False,False,Day,unclassified,False,2,25,Major below 75
0.34999999404,R,57.0,62.0,25.67,10.0,CALM,0.0,0.0,Fair,False,False,Day,unclassified,False,2,25,Major below 75
0.34999999404,R,67.0,49.0,25.67,10.0,CALM,0.0,0.0,Fair,False,False,Day,unclassified,False,2,25,Major below 75
0.34999999404,R,89.0,18.0,25.66,10.0,W,12.0,0.0,Cloudy,False,False,Day,unclassified,False,2,25,Major below 75
0.34999999404,R,64.0,48.0,25.62,10.0,VAR,3.0,0.0,Fair,False,False,Day,unclassified,False,2,25,Major below 75
0.34999999404,R,66.0,40.0,25.63,10.0,CALM,0.0,0.0,Fair,False,False,Day,unclassified,False,2,25,Major below 75
0.34999999404,R,81.0,25.0,25.54,10.0,W,5.0,0.0,Fair,False,False,Night,unclassified,False,2,25,Major below 75
0.34999999404,R,79.0,28.0,25.57,10.0,CALM,0.0,0.0,Fair,False,False,Day,unclassified,False,2,25,Major below 75
0.34999999404,R,74.0,20.0,25.63,10.0,CALM,0.0,0.0,Fair,False,False,Day,unclassified,False,2,25,Major below 75
5.80999994278,R,28.0,100.0,28.86,10.0,W,5.0,0.0,Cloudy,False,False,Day,tertiary,False,2,55,Major 125 to 250
5.80999994278,R,34.0,96.0,28.88,10.0,SW,5.0,0.0,Cloudy,False,False,Day,tertiary,False,2,55,Major 125 to 250
1.85000002384,R,46.0,42.0,29.34,10.0,SW,9.0,0.0,Fair,False,False,Day,tertiary,False,2,55,Major 125 to 250
0.0,R,59.0,49.0,29.22,10.0,NW,10.0,0.0,Fair,False,False,Day,tertiary,False,2,55,Major 125 to 250
5.80999994278,R,73.0,66.0,29.27,10.0,S,15.0,0.0,Fair,False,False,Day,tertiary,False,2,55,Major 125 to 250
0.0,R,45.0,56.0,29.61,10.0,NE,6.0,0.0,Fair,False,False,Day,tertiary,False,2,55,Major 125 to 250
0.0,R,40.0,79.0,29.98,3.0,NE,9.0,0.02,Rain,False,False,Night,tertiary,False,2,30,Major 125 to 250
2.33999991417,R,32.0,82.0,29.3,0.75,NW,8.0,0.0,Snow,False,False,Day,tertiary,False,2,30,Major 125 to 250
0.0,R,40.0,83.0,30.19,2.0,CALM,0.0,0.0,Rain,False,False,Night,tertiary,False,2,30,Major 125 to 250
0.0,R,41.0,86.0,30.14,0.75,CALM,0.0,0.01,Rain,False,False,Day,tertiary,False,2,30,Major 125 to 250
0.0,R,21.0,65.0,30.59,10.0,CALM,0.0,0.0,Fair,False,False,Night,tertiary,False,2,30,Major 125 to 250
0.0,R,30.0,79.0,29.93,3.0,CALM,0.0,0.0,Wintry Mix,False,False,Day,tertiary,False,2,30,Major 125 to 250
0.0,R,53.0,83.0,30.29,10.0,CALM,0.0,0.0,Cloudy,False,False,Night,tertiary,False,2,30,Major 125 to 250
0.0,R,36.0,79.0,30.21,10.0,CALM,0.0,0.0,Fair,False,False,Night,tertiary,False,2,30,Major 125 to 250
0.0,R,33.0,54.0,30.39,10.0,NW,9.0,0.0,Cloudy,False,False,Day,tertiary,False,2,30,Major 125 to 250
0.0,R,59.0,87.0,29.95,0.25,CALM,0.0,0.0,Fog,False,False,Day,tertiary,False,2,30,Major 125 to 250
0.0,R,64.0,87.0,29.97,0.25,CALM,0.0,0.0,Fog,False,False,Night,tertiary,False,2,30,Major 125 to 250
0.0,R,63.0,60.0,30.06,10.0,NW,7.0,0.0,Fair,False,False,Day,tertiary,False,2,30,Major 125 to 250
0.0,R,74.0,55.0,29.81,10.0,SW,3.0,0.0,Fair,False,False,Night,tertiary,False,2,30,Major 125 to 250
2.18000006676,R,67.0,84.0,29.73,5.0,NE,7.0,0.12,Rain,False,False,Day,tertiary,False,2,30,Major 125 to 250
0.0,L,87.0,21.0,29.36,10.0,E,10.0,0.0,Fair,False,False,Day,tertiary,False,2,30,Major 125 to 250
0.0,R,76.0,76.0,29.67,10.0,SW,9.0,0.0,Cloudy,False,False,Day,tertiary,False,2,30,Major 125 to 250
0.0,L,72.0,71.0,29.23,10.0,SW,15.0,0.0,Fair,False,False,Day,tertiary,False,2,30,Major 125 to 250
0.0,R,59.0,42.0,30.25,10.0,SE,12.0,0.0,Fair,False,False,Day,tertiary,False,2,30,Major 125 to 250
0.0,R,45.0,82.0,29.74,10.0,W,5.0,0.0,Cloudy,False,False,Day,tertiary,False,2,30,Major 125 to 250
0.0,R,83.0,58.0,29.6,10.0,SW,9.0,0.0,Fair,False,False,Day,tertiary,False,2,30,Major 125 to 250
0.0,R,31.0,64.0,29.09,10.0,NW,5.0,0.0,Fair,False,False,Day,tertiary,False,2,40,Major 75 to 125
0.0,L,78.0,72.0,28.78,10.0,SE,14.0,0.0,Cloudy,False,True,Day,tertiary,False,2,40,Major 75 to 125
0.0,R,78.0,90.0,29.6,10.0,SW,7.0,0.0,Cloudy,False,True,Day,unclassified,False,2,35,Major above 250
0.0,R,78.0,90.0,29.6,10.0,SW,7.0,0.0,Cloudy,False,True,Day,residential,False,2,25,Major below 75
0.0,R,24.1,88.0,29.99,2.0,NW,16.1,0.08,Snow,False,False,Day,unclassified,False,2,35,Major above 250
0.0,R,24.1,88.0,29.99,2.0,NW,16.1,0.08,Snow,False,False,Day,residential,False,2,25,Major below 75
0.6899999976160001,R,60.0,53.0,29.19,10.0,CALM,0.0,0.0,Fair,False,False,Day,tertiary,False,4,35,Major below 75
0.0,R,41.0,65.0,29.11,10.0,W,8.0,0.0,Cloudy,False,False,Day,tertiary,False,4,35,Major below 75
0.0,R,61.0,59.0,29.12,10.0,E,7.0,0.0,Fair,False,False,Day,tertiary,False,4,35,Major below 75
0.0,R,61.0,59.0,29.12,10.0,E,7.0,0.0,Fair,False,False,Day,tertiary,False,4,35,Major below 75
5.94000005722,R,82.0,39.0,29.12,10.0,E,8.0,0.0,Fair,False,False,Day,tertiary,False,4,35,Major below 75
0.0,R,73.0,69.0,28.99,10.0,NW,13.0,0.0,Cloudy,False,False,Day,tertiary,False,4,35,Major below 75
0.0,R,69.0,93.0,28.99,4.0,SW,3.0,0.42,Rain,False,False,Night,tertiary,False,4,35,Major below 75
0.0,R,73.0,76.0,29.22,10.0,VAR,3.0,0.0,Fair,False,True,Day,tertiary,False,4,35,Major below 75
0.0,R,90.0,46.0,29.06,10.0,SW,8.0,0.0,Cloudy,False,False,Day,tertiary,False,4,35,Major below 75
0.0,R,74.0,94.0,28.91,10.0,NW,9.0,0.0,Cloudy,False,False,Day,tertiary,False,4,35,Major below 75
6.17999982834,R,71.0,98.0,28.97,2.0,CALM,0.0,0.0,Fog,False,False,Day,tertiary,False,4,35,Major below 75
